"bin","temp_ym_0m","temp_ym_surf","temp_ym_surfsub","temp_ym_sub"
260,12.0633892445472,11.6429214371031,10.8184846787103,9.98449732372216
268,10.9458496472702,10.5574446371877,9.91513974944065,9.19243888028673
276,11.4514764022532,11.096527308823,10.3886895278148,9.62158913715132
284,12.6846828739448,12.2869381497518,11.4436780834249,10.5807062296775
292,12.1194355548456,11.6423651470514,10.8744715053974,10.0761410139886
300,13.3061614517508,12.847456065591,11.9365645259298,11.0881856946082
308,12.6391217748667,12.2416429921728,11.4275505891327,10.5972286027053
316,13.33000870532,12.8782254359845,12.0874969037761,11.2818525506505
324,13.8008011472636,13.4111022453884,12.4760959404296,11.5430675440821
332,14.1060433704278,13.6078943651812,12.7016875262469,11.8465206852247
340,12.288571768588,11.8448334175001,11.0268003794076,10.1570301687666
348,12.0036746620104,11.6444477401642,10.8718349111299,10.016602472627
356,10.8980857425723,10.538307510766,9.89707017380359,9.13308229257578
364,11.6320183473222,11.2298882017105,10.4580400883798,9.64594488197873
372,12.580573947368,12.1154839144827,11.2625408224119,10.4826791648721
380,12.8596713536772,12.4138713053588,11.5456462289279,10.7011579702319
388,12.8665699103783,12.4363102070216,11.6558485433459,10.8556738860777
396,13.3080554033148,12.9253121081097,12.0868117237656,11.1715949041062
404,13.7386878926179,13.3335488226907,12.4656336009631,11.5382725730025
412,13.9366640921297,13.4598853384626,12.5532739926515,11.6639152372706
420,13.7880675667319,13.3133823673273,12.3598435494262,11.4555540551399
428,12.3777187487175,11.9616144431626,11.1991587755752,10.4061133781512
436,11.2109361706767,10.8749219095977,10.1658834058334,9.3454776566861
444,11.5559588106349,11.1592400955018,10.4229876622917,9.60800536118191
452,11.7093625952458,11.2999030458773,10.4858756631099,9.64198004300224
460,11.7728329923261,11.3463693820711,10.5488492257122,9.68507748822409
468,11.6590894577832,11.2352050904554,10.5011169264157,9.73365451118724
476,12.6715012808298,12.292281672487,11.4810224331337,10.6517011804827
484,12.5569403105769,12.1257281206677,11.3713928017894,10.5842384866471
492,13.6196123447911,13.1644481798698,12.2277171271175,11.332266128166
500,12.93020971736,12.4911549437791,11.6026322522811,10.7248036317013
508,12.7976746955822,12.3300339855511,11.5473271470645,10.7534170070808
516,12.996993825559,12.6267279715149,11.7942710930289,10.9348729893276
524,12.4166955500327,12.0308280119929,11.2457166907345,10.4301710630285
532,11.7117223259961,11.2934657813403,10.5007812673419,9.69184861452287
540,11.9150575803785,11.4841811361923,10.6381160075712,9.78730745332251
548,11.9571446632517,11.5678680851285,10.780555152459,9.94441235368301
556,12.7452738203879,12.3058056394923,11.5954782495235,10.8689802431919
564,13.3659732730224,12.9452837612095,12.0925071503517,11.261427853128
572,13.3547960530067,12.9284295735897,12.0114643314918,11.1018513841362
580,13.4343128661657,12.8891346492901,12.0485400894428,11.2754237610461
588,13.7589645916018,13.3064009968577,12.3631810067543,11.482059563645
596,12.6894198204423,12.2741890910644,11.4804843819218,10.6471357431006
604,13.0618988567385,12.6036523111935,11.7992925277558,11.0076158834429
612,13.7663427866738,13.3662952315191,12.4193857761806,11.4727729140685
620,13.3639880059094,12.8439157494408,11.9943286955762,11.1912317352562
628,11.7184706205631,11.2886953794702,10.4766403092698,9.64713302974043
636,11.1324688853262,10.7903422161551,10.0539969346855,9.22941166357747
644,11.0467194989324,10.6794792641468,10.0018750391772,9.2037686611044
652,11.107960359264,10.6881820860094,9.95740212332457,9.14031766454593
660,11.3072009114292,10.9248029871426,10.1024152794532,9.22368810120328
668,10.9522694374523,10.5529342933927,9.84169088174621,9.01983043621455
676,12.2047055587686,11.7433070768474,10.9955286051789,10.2510927574645
684,12.6847404900553,12.3128850668412,11.4762540150948,10.6453613606121
692,12.8489652615169,12.3883047948367,11.607732025778,10.8129893979122
700,13.3994641647257,12.9317989236836,12.0072597546342,11.1296364174321
708,12.8682080115224,12.4353616445165,11.5421700304057,10.6699863769885
716,12.1797105115035,11.7131407007254,11.0047235065108,10.250980326718
724,12.1574160874918,11.8064670301386,11.0252755272315,10.2258875637604
732,11.807587629598,11.4114749187218,10.6414066957723,9.80619773270626
740,11.3823338524053,10.9733940741754,10.1790860587603,9.34225059150365
748,11.1342486394505,10.7359779619708,9.96516699253598,9.13015726524052
756,11.6522258740561,11.2524422027813,10.5082948293489,9.7264763848278
764,12.3591225303453,11.9579598676486,11.2046189787059,10.421918758493
