"species","morphDes","spinose","Macro.micro","structure","aperture","latest","earliest","mph","mphRef","eco","ecoRef","geo","geoRef","log.area","Approximate.diameter","newEnd","N","MaxAbund","ALD","ALDse","VD","VDse","DepthHabitat","DepthHabitatVar","ref"
"Menardella fimbriata","Lenticular, low trochospiral, prominent keel and densely perforate surface","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low-arched slit",NA,NA,14,"Kennett & Srinivasan (1983)",3,"This study","Low latitudes","Kennett & Srinivasan (1983)",12.7666800051879,333.944582873211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Menardella menardii","Lenticular, low trochospiral, prominent keel and densely perforate surface","Non-spinose","Macroperforate","Smooth","Interiomarginal umbilical-extraumbilical low-arched slit with thick lip",0,17.413121,14,"Kennett & Srinivasan (1983)",3,"Shackleton & Vincent (1978); Pearson & Shackleton (1995); D. R. M. Stewart unpublished data","Low latitudes","Kennett & Srinivasan (1983)",12.9560436195241,367.10828786598,0,"2","51","46.2",NA,"25.2",NA,"Surface",NA,"Watkins et al. 1996"
"Neogloboquadrina dutertrei","Trochospiral, globose, spiral side flat to slightly convex","Non-spinose","Macroperforate","Cancellate","Umbilical-extraumbilical broad deep opening with tooth-like umbilical plates often present",0,10.465982,7,"Kennett & Srinivasan (1983)",3,"Kahn (1979); Shackleton & Vincent (1978)","Low latitudes","Kennett & Srinivasan (1983)",12.1581706931681,246.341898832003,0,"11","6","62.69","22.06","22.78","6.4","Surface",NA,"Rebotim et al. 2017"
"Neogloboquadrina incompta","Low trochospiral, lobulate rounded periphery, right coiling","Non-spinose","Macroperforate","Cancellate","Interiomarginal umbilical-extraumbilical low arch with a thick apertural rim",NA,NA,7,"Darling et al (2006)",5,"Darling et al (2006)","Low to high latitudes","Kennett & Srinivasan (1983)",NA,NA,0,"24","70.04","80.93","16.05","50.32","11.57","Surface.subsurface","Variable","Rebotim et al. 2017"
"Neogloboquadrina pachyderma","Low trochospiral, lobulate rounded periphery, left coiling","Non-spinose","Macroperforate","Cancellate","Interiomarginal umbilical-extraumbilical low arch with a thick apertural rim",0,24.103849,7,"Kennett & Srinivasan (1983)",5,"Vergnaud-Grazzini (1976)","Low to high latitudes","Kennett & Srinivasan (1983)",11.3353981827817,163.258388051036,0,"18","1.37","113.35","50.88","44.42","23.82","Surface.subsurface",NA,"Rebotim et al. 2017"
"Orbulina suturalis","Almost spherical, final chamber not entirely enveloping earlier test","Spinose","Macroperforate","Hispid","Areal aperturessupplementary apertures al.ong sutures separating earlier and  final chambers",0.644949,23.932578,4,"Kennett & Srinivasan (1983)",3,"D. R. M. Stewart unpublished data","Low to middle latitudes","Kennett & Srinivasan (1983)",11.8533579535129,211.518831813888,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orbulina universa","Completely spherical with final chamber entirely enveloping earlier test","Spinose","Macroperforate","Hispid","Numerous small openings of two distinct sizes",0.003513,23.581247,4,"Kennett & Srinivasan (1983)",1,"Vergnaud-Grazzini (1976)","Low to high latitudes","Kennett & Srinivasan (1983)",12.023512372478,230.301942931301,0,"24","1.7","79","13.75","40.39","13.09","Surface.subsurface","Stable","Rebotim et al. 2017"
"Orcadia riedeli","Low trochospiral to slightly streptospiral, equatorial periphery distinctly lobulate",NA,"Microperforate","Triradiate","Interiomarginal, umbilical, rather a low arch, bordered by a narrow but distinct lip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulleniatina finalis","Involute, planispiral with a very broadly rounded periphery","Non-spinose","Macroperforate","Smooth","Extra-umbilical high arch",0.039003,11.102836,7,"Bolli & Saunders (1985)",3,"This study","Low latitudes","This study",12.2952960017266,263.824222609509,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pulleniatina obliquiloculata","Trochospiral becoming streptospiral, very smooth surface, globular","Non-spinose","Macroperforate","Smooth","Umbilical-extraumbilical low archoften pustulate",0,14.025871,7,"Kennett & Srinivasan (1983)",3,"Shackleton & Vincent (1978); Pearson & Shackleton (1995)","Low latitudes","Kennett & Srinivasan (1983)",12.5022152316151,292.581328121036,0,"11","29.87","44.51","13.16","30.99","8.37","Surface",NA,"Rebotim et al. 2017"
"Sphaeroidinella dehiscens","Large, trochospiral, equatorial periphery ovoid or spherical with smooth secondary cortex","Non-spinose","Macroperforate","Cancellate with smooth cortex","Primary apertureinteriomarginal umbilical two sutural supplementary apertures bordered by crenulated lip",0.033671,13.080235,7,"Kennett & Srinivasan (1983)",3,"Shackleton & Vincent (1978)","Low latitudes","Kennett & Srinivasan (1983)",12.824014576052,343.656408284693,0,NA,NA,"150",NA,"75",NA,"Subsurface",NA,"Schiebel and Hemleben 2017"
