"bin","bin2","sp","h","pa","pe","bw1","bw2","n1","n2"
4,124,"Menardella menardii",0.242586898358857,0.114610716461178,26.9376125335693,0.03904909395427,0.0609001811245682,756,12
4,124,"Neogloboquadrina dutertrei",0.138041164029284,0.0696451350049669,26.9376125335693,0.044591405714489,0.105379761917365,1013,21
4,124,"Pulleniatina obliquiloculata",0.273360068974079,0.13361963077836,26.9376125335693,0.0391890199532838,0.0674975763850434,729,10
4,124,"Trilobatus sacculifer",0.184206377268509,0.0897968237607123,26.9376125335693,0.0390463386675093,0.117510503629815,944,16
4,124,"Trilobatus trilobus",0.167316868489194,0.105533709564464,26.9376125335693,0.0413811077987847,0.0583600960491618,798,9
4,212,"Globigerinoides conglobatus",NA,0.112017956635115,26.9376125335693,0.0398668474822441,NA,706,0
4,212,"Globigerinoides ruber",0.135964464047923,0.0684336631582533,26.9376125335693,0.0430781281913889,0.0897350569165377,1027,10
4,212,"Globoturborotalita tenella",NA,0.0862810952578394,26.9376125335693,0.0432508990715558,NA,644,0
4,212,"Menardella menardii",0.309406470246094,0.114610716461178,26.9376125335693,0.03904909395427,0.0661268771087386,756,7
4,212,"Neogloboquadrina dutertrei",0.243098212487084,0.0696451350049669,26.9376125335693,0.044591405714489,0.0871161785797143,1013,8
4,212,"Pulleniatina obliquiloculata",NA,0.13361963077836,26.9376125335693,0.0391890199532838,NA,729,0
4,212,"Trilobatus sacculifer",0.248967718425893,0.0897968237607123,26.9376125335693,0.0390463386675093,0.0541057771660211,944,9
4,212,"Trilobatus trilobus",NA,0.105533709564464,26.9376125335693,0.0413811077987847,NA,798,0
4,332,"Globigerinoides conglobatus",NA,0.112017956635115,26.9376125335693,0.0398668474822441,NA,706,0
4,332,"Globigerinoides ruber",0.194337679054022,0.0684336631582533,26.9376125335693,0.0430781281913889,0.180947329169925,1027,9
4,332,"Globoturborotalita tenella",NA,0.0862810952578394,26.9376125335693,0.0432508990715558,NA,644,0
4,332,"Menardella menardii",0.250152624674985,0.114610716461178,26.9376125335693,0.03904909395427,0.0873456878073555,756,6
4,332,"Neogloboquadrina dutertrei",0.129727824177042,0.0696451350049669,26.9376125335693,0.044591405714489,0.104686998530639,1013,8
4,332,"Pulleniatina obliquiloculata",0.431391839028566,0.13361963077836,26.9376125335693,0.0391890199532838,0.122962110150926,729,6
4,332,"Trilobatus sacculifer",0.197256191830652,0.0897968237607123,26.9376125335693,0.0390463386675093,0.0738571061908121,944,7
4,332,"Trilobatus trilobus",NA,0.105533709564464,26.9376125335693,0.0413811077987847,NA,798,0
4,412,"Globigerinoides conglobatus",NA,0.112017956635115,26.9376125335693,0.0398668474822441,NA,706,0
4,412,"Globigerinoides ruber",0.189515085664715,0.0684336631582533,26.9376125335693,0.0430781281913889,0.147502204401287,1027,8
4,412,"Globoturborotalita tenella",NA,0.0862810952578394,26.9376125335693,0.0432508990715558,NA,644,0
4,412,"Menardella menardii",0.328786634871723,0.114610716461178,26.9376125335693,0.03904909395427,0.0488612628815917,756,6
4,412,"Neogloboquadrina dutertrei",0.304522819670206,0.0696451350049669,26.9376125335693,0.044591405714489,0.0651476076821353,1013,9
4,412,"Pulleniatina obliquiloculata",NA,0.13361963077836,26.9376125335693,0.0391890199532838,NA,729,0
